iter	Passed	Remaining
573	2313	1717
574	2315	1711
575	2317	1706
576	2319	1700
577	2323	1696
578	2325	1690
579	2327	1685
580	2329	1680
581	2332	1675
582	2334	1669
583	2336	1664
584	2339	1659
585	2340	1653
586	2342	1648
587	2344	1642
588	2345	1636
589	2347	1631
590	2349	1625
591	2350	1620
592	2353	1615
593	2355	1610
594	2357	1604
595	2359	1599
596	2361	1593
597	2362	1588
598	2364	1583
599	2369	1579
600	2371	1574
601	2373	1568
602	2375	1563
603	2376	1558
604	2378	1553
605	2383	1549
606	2386	1545
607	2388	1540
608	2390	1534
609	2392	1529
610	2393	1524
611	2395	1518
612	2398	1513
613	2402	1510
614	2404	1505
615	2406	1500
616	2408	1494
617	2410	1489
618	2412	1484
619	2416	1481
620	2418	1476
621	2420	1471
622	2422	1465
623	2424	1460
624	2426	1455
625	2430	1452
626	2432	1446
627	2434	1441
628	2435	1436
629	2437	1431
630	2439	1426
631	2441	1421
632	2444	1417
633	2446	1412
634	2447	1406
635	2449	1401
636	2451	1396
637	2452	1391
638	2454	1386
639	2457	1382
640	2459	1377
641	2461	1372
642	2462	1367
643	2464	1362
644	2467	1357
645	2469	1353
646	2474	1349
647	2476	1345
648	2478	1340
649	2479	1335
650	2481	1330
651	2483	1325
652	2485	1320
653	2488	1316
654	2490	1311
655	2492	1307
656	2494	1302
657	2496	1297
658	2498	1292
659	2500	1288
660	2504	1284
661	2506	1279
662	2508	1274
663	2510	1270
664	2512	1265
665	2514	1260
666	2515	1256
667	2518	1251
668	2520	1247
669	2522	1242
670	2524	1237
671	2526	1233
672	2528	1228
673	2530	1223
674	2532	1219
675	2533	1214
676	2535	1209
677	2536	1204
678	2538	1200
679	2540	1195
680	2544	1191
681	2545	1187
682	2547	1182
683	2549	1177
684	2551	1173
685	2552	1168
686	2554	1163
687	2556	1159
688	2559	1155
689	2561	1150
690	2563	1146
691	2565	1141
692	2566	1137
693	2568	1132
694	2570	1127
695	2574	1124
696	2576	1120
697	2578	1115
698	2579	1110
699	2581	1106
700	2583	1101
701	2584	1097
702	2586	1092
703	2588	1088
704	2590	1084
705	2592	1079
706	2593	1074
707	2595	1070
708	2597	1066
709	2598	1061
710	2600	1056
711	2601	1052
712	2605	1048
713	2607	1044
714	2608	1039
715	2610	1035
716	2611	1030
717	2613	1026
718	2615	1022
719	2617	1017
720	2620	1014
721	2623	1010
722	2625	1005
723	2628	1001
724	2631	998
725	2637	995
726	2643	992
727	2655	992
728	2657	987
729	2660	983
730	2662	979
731	2671	977
732	2673	973
733	2675	969
734	2678	965
735	2682	962
736	2686	958
737	2689	954
738	2691	950
739	2693	946
740	2694	941
741	2696	937
742	2706	936
743	2710	932
744	2713	928
745	2715	924
746	2717	920
747	2720	916
748	2725	913
749	2729	909
750	2731	905
751	2733	901
752	2735	897
753	2737	893
754	2744	890
755	2747	886
756	2750	882
757	2752	878
758	2759	876
759	2761	872
760	2763	867
761	2765	863
